,lat,long,temp,humidity,wind,clouds,city_name,city_id,city_country_code
113,-3.71,-38.6,82.4,78,10.29,0,Vila Velha,6320062,BR
114,23.99,-104.67,86.0,9,5.82,40,Constitucion,4011743,MX
115,27.87,-0.29,82.4,30,6.93,0,Adrar,2508813,DZ
116,13.5,106.97,74.8,94,2.06,36,Lumphat,1830377,KH
117,63.05,179.32,24.99,96,14.81,0,Beringovskiy,2126710,RU
118,-9.17,-60.63,83.13,82,1.95,32,Aripuana,3665202,BR
119,59.7,30.79,39.2,80,6.71,90,Nikolskoye,546105,RU
120,-19.55,169.27,77.86,100,15.7,24,Isangel,2136825,VU
121,64.86,-147.8,33.8,83,5.82,1,College,5859699,US
122,24.89,-105.07,81.78,20,3.62,24,Nuevo Ideal,3994607,MX
123,69.7,170.27,21.75,82,4.85,20,Pevek,2122090,RU
124,65.61,-37.64,32.0,99,5.82,68,Tasiilaq,3424607,GL
125,-35.02,117.88,62.83,78,14.7,32,Albany,2077963,AU
126,-35.66,-63.75,79.71,57,14.14,0,General Pico,3855075,AR
127,-17.91,19.77,68.41,38,6.64,12,Rundu,3353383,NA
128,69.7,170.27,21.75,82,4.85,20,Pevek,2122090,RU
129,40.6,-124.16,60.8,76,14.99,1,Fortuna,5563839,US
130,70.47,-68.59,24.8,79,9.17,1,Clyde River,5924351,CA
131,22.57,59.53,77.41,100,4.41,0,Sur,286245,OM
132,22.08,-159.32,78.8,74,12.75,20,Kapaa,5848280,US
133,-38.38,142.48,59.05,100,4.74,88,Warrnambool,2144528,AU
134,63.75,-68.52,23.0,79,19.46,5,Iqaluit,5983720,CA
135,-33.64,115.35,67.33,100,23.31,56,Busselton,2075265,AU
136,-5.81,-35.21,82.4,74,9.17,40,Natal,3394023,BR
137,-35.02,117.88,62.83,78,14.7,32,Albany,2077963,AU
138,-46.28,169.85,47.67,77,18.84,36,Kaitangata,2208248,NZ
139,-46.6,168.33,53.11,100,22.75,76,Bluff,2206939,NZ
140,-53.16,-70.91,48.2,57,19.46,75,Punta Arenas,3874787,CL
141,69.44,-133.03,-2.21,76,6.93,20,Tuktoyaktuk,6170031,CA
142,-14.9,50.28,77.01,99,5.19,92,Antalaha,1071296,MG
143,-46.6,168.33,53.11,100,22.75,76,Bluff,2206939,NZ
144,-42.78,147.06,51.8,87,5.82,0,New Norfolk,2155415,AU
145,30.29,-81.39,73.4,73,13.87,90,Jacksonville Beach,4160023,US
146,69.7,170.27,21.75,82,4.85,20,Pevek,2122090,RU
147,59.58,151.3,21.2,92,2.73,56,Ola,2122574,RU
148,-19.06,-169.92,81.06,100,10.56,48,Alofi,4036284,NU
149,-5.2,-35.46,81.1,82,12.24,24,Touros,3386213,BR
150,5.67,73.0,85.06,100,8.66,88,Ugoofaaru,1337619,MV
151,-22.97,-42.02,80.6,74,11.41,0,Arraial do Cabo,3471451,BR
152,-35.26,174.12,62.65,82,9.66,0,Russell,2188874,NZ
153,-33.02,27.91,73.41,100,16.82,0,East London,1006984,ZA
154,77.48,-69.36,12.7,100,2.28,80,Qaanaaq,3831208,GL
155,-19.98,57.61,78.8,78,11.41,75,Cap Malheureux,934649,MU
156,-35.02,117.88,62.83,78,14.7,32,Albany,2077963,AU
157,3.07,172.79,83.67,99,14.25,48,Butaritari,2110227,KI
158,31.42,-103.49,78.8,13,13.87,1,Pecos,5528182,US
159,27.87,-0.29,82.4,30,6.93,0,Adrar,2508813,DZ
160,-45.58,-72.07,55.4,62,8.05,75,Coihaique,3894426,CL
161,13.49,-89.32,93.2,52,9.17,20,La Libertad,3585157,SV
162,-23.12,-134.97,76.92,100,8.55,44,Rikitea,4030556,PF
163,-23.12,-134.97,76.92,100,8.55,44,Rikitea,4030556,PF
164,60.82,-115.79,24.8,79,11.41,90,Hay River,5972762,CA
165,65.61,-37.64,32.0,99,5.82,68,Tasiilaq,3424607,GL
166,12.12,-61.62,82.4,74,13.87,40,Grenville,3580236,GD
167,-35.26,174.12,62.65,82,9.66,0,Russell,2188874,NZ
168,60.91,-46.05,48.2,49,5.82,40,Narsaq,3421719,GL
169,-19.16,46.8,56.58,95,2.39,20,Mananjary,1056151,MG
170,-23.12,-134.97,76.92,100,8.55,44,Rikitea,4030556,PF
171,-34.42,19.24,46.68,92,2.17,0,Hermanus,3366880,ZA
172,-13.85,136.42,83.13,98,14.92,0,Alyangula,2079582,AU
173,-25.24,130.99,64.4,36,8.05,0,Yulara,6355222,AU
174,-22.97,-42.02,80.6,74,11.41,0,Arraial do Cabo,3471451,BR
175,-46.43,-67.52,66.3,35,22.53,0,Mar del Plata,3863379,AR
176,-15.94,-5.72,76.92,97,12.91,92,Jamestown,3370903,SH
177,62.45,-114.38,30.2,50,9.17,75,Yellowknife,6185377,CA
178,-20.41,57.7,78.8,78,11.41,75,Mahebourg,934322,MU
179,41.12,80.26,37.23,86,2.62,12,Aksu,1529660,CN
180,-15.94,-5.72,76.92,97,12.91,92,Jamestown,3370903,SH
181,-7.37,108.54,69.31,95,2.28,20,Banjar,1650233,ID
182,-54.81,-68.31,42.8,75,11.41,90,Ushuaia,3833367,AR
183,-33.86,121.89,64.36,72,8.99,44,Esperance,2071860,AU
184,-33.01,17.94,53.6,81,1.12,12,Saldanha,3361934,ZA
185,69.22,-51.1,24.8,85,3.36,92,Ilulissat,3423146,GL
